2017-01-22 12:19:37,362 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:19:37,363 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart\src\test\resources
2017-01-22 12:19:41,162 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart
2017-01-22 12:19:41,162 [Worker-52] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-01-22 12:19:43,122 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:19:43,123 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart\src\main\resources
2017-01-22 12:19:43,124 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:19:43,125 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\xyz\shopping-cart-with-folder-format-master\shoppingCart\src\test\resources
2017-01-22 12:19:43,125 [Worker-50] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of shoppingCart
2017-01-22 12:19:43,125 [Worker-50] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for shoppingCart
2017-01-22 12:19:43,133 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-01-22 12:19:43,136 [Worker-50] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of shoppingCart
2017-01-22 12:19:43,136 [Worker-50] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for shoppingCart
2017-01-22 12:19:43,140 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
